Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
130	TR	A0A1H4LM28	Voltage-gated potassium channel OS=Streptomyces sp. 2314.4 OX=1881025 GN=SAMN05428943_0315 PE=4 SV=1	Streptomyces sp. 2314.4	164	316	59.4	79.2	9e-35
131	TR	A0A6H1KCA2	Voltage-gated potassium channel OS=Streptomyces sp. RPA4-5 OX=2721245 GN=HEP86_01110 PE=4 SV=1	Streptomyces sp. RPA4-5	126	311	65.5	83.3	1.7e-34
132	TR	A0A1D7VMB4	Voltage-gated potassium channel OS=Streptomyces lydicus OX=47763 GN=SL103_17860 PE=4 SV=1	Streptomyces lydicus	165	313	58.3	80.2	2.6e-34
133	TR	A0A1W5XH00	Voltage-gated potassium channel OS=Streptomyces sp. MOE7 OX=1961713 GN=STRMOE7_00985 PE=4 SV=1	Streptomyces sp. MOE7	165	313	58.3	80.2	2.6e-34
134	TR	J2JUX7	Ion transport 2 domain-containing protein OS=Streptomyces auratus AGR0001 OX=1160718 GN=SU9_27054 PE=4 SV=1	Streptomyces auratus AGR0001	164	312	58.3	78.1	3.6e-34
135	TR	A0A6G7T8K0	Two pore domain potassium channel family protein OS=Streptomyces sp. ID38640 OX=1265399 GN=G7Z12_35985 PE=4 SV=1	Streptomyces sp. ID38640	132	309	64.3	83.3	4.1e-34
136	TR	A0A3Q9KEZ9	Voltage-gated potassium channel OS=Streptomyces lydicus OX=47763 GN=DDE74_01260 PE=4 SV=1	Streptomyces lydicus	132	308	64.3	83.3	5.8e-34
137	TR	A0A6B2RX29	Two pore domain potassium channel family protein OS=Streptomyces sp. SID10853 OX=2706028 GN=G3I19_12640 PE=4 SV=1	Streptomyces sp. SID10853	165	302	60.2	75.3	1.2e-32
138	TR	V6K6T4	Potassium channel domain-containing protein OS=Streptomycetaceae bacterium MP113-05 OX=1380770 GN=N566_23510 PE=4 SV=1	Streptomycetaceae bacterium MP113-05	170	302	59.6	75.5	1.4e-32
139	TR	A0A9K3X419	Voltage-gated potassium channel OS=Streptomyces sp. SID4917 OX=2690269 GN=GT002_31640 PE=4 SV=1	Streptomyces sp. SID4917	168	298	60.9	79.3	5.4e-32
140	TR	A0A975Y9U0	Potassium channel family protein OS=Streptomyces sp. GMY02 OX=1333528 GN=KQY30_13725 PE=4 SV=1	Streptomyces sp. GMY02	172	298	64.1	77.2	6.1e-32
141	TR	A0A8B1PHE4	Two pore domain potassium channel family protein OS=Streptomyces auratus AGR0001 OX=1160718 GN=SU9_001215 PE=4 SV=1	Streptomyces auratus AGR0001	132	294	60.7	79.8	7.8e-32
142	TR	A0A1C5F9Q4	Voltage-gated potassium channel OS=Streptomyces sp. MnatMP-M17 OX=1839780 GN=GA0115259_108751 PE=4 SV=1	Streptomyces sp. MnatMP-M17	198	298	60.9	79.3	1.2e-31
143	TR	A0A4Q4DHN3	Potassium voltage-gated channel subfamily KQT OS=Streptomyces sp. L-9-10 OX=1478131 GN=CU044_4907 PE=4 SV=1	Streptomyces sp. L-9-10	173	296	61.3	79.6	1.2e-31
144	TR	A0A4S2R439	Two pore domain potassium channel family protein OS=Streptomyces sp. RKND-216 OX=2562581 GN=E4198_12505 PE=4 SV=1	Streptomyces sp. RKND-216	159	293	62.8	73.4	2.4e-31
145	TR	A0A919FYX1	PH-gated potassium channel KcsA OS=Streptomyces sulfonofaciens OX=68272 GN=kcsA PE=4 SV=1	Streptomyces sulfonofaciens	166	293	60.2	73.1	2.9e-31
146	TR	A0A852ZKT5	Voltage-gated potassium channel OS=Actinopolymorpha rutila OX=446787 GN=F4554_006252 PE=4 SV=1	Actinopolymorpha rutila	163	290	60.2	75.3	7.7e-31
147	TR	A0A370B134	Two pore domain potassium channel family protein OS=Streptomyces corynorhini OX=2282652 GN=DVH02_24455 PE=4 SV=1	Streptomyces corynorhini	171	290	62.4	77.4	9.6e-31
148	TR	A0A1I3BGN6	Voltage-gated potassium channel OS=Actinopolymorpha cephalotaxi OX=504797 GN=SAMN05421678_1245 PE=4 SV=1	Actinopolymorpha cephalotaxi	164	286	60.2	75.3	3.2e-30
149	TR	A0A1U9QLY0	Voltage-gated potassium channel OS=Streptomyces niveus OX=193462 GN=BBN63_02540 PE=4 SV=1	Streptomyces niveus	168	286	59.1	77.4	3.6e-30
150	TR	A0A3N6EY38	pH-gated potassium channel KcsA OS=Streptomyces sp. ADI96-02 OX=1522760 GN=kcsA2 PE=4 SV=1	Streptomyces sp. ADI96-02	170	285	61.3	76.3	5.3e-30
151	TR	V6JNH5	Potassium channel domain-containing protein OS=Streptomyces niveus NCIMB 11891 OX=1352941 GN=M877_38715 PE=4 SV=1	Streptomyces niveus NCIMB 11891	165	284	58.1	75.3	6.6e-30
152	TR	A0A4Y8Y827	Two pore domain potassium channel family protein OS=Streptomyces sp. 4R-3d OX=2559605 GN=E4P36_07985 PE=4 SV=1	Streptomyces sp. 4R-3d	165	283	58.1	75.3	9.3e-30
153	TR	A0A345HST6	Two pore domain potassium channel family protein OS=Streptomyces paludis OX=2282738 GN=DVK44_21265 PE=4 SV=1	Streptomyces paludis	173	283	60.2	75.3	1.2e-29
154	TR	A0A353KEG6	Voltage-gated potassium channel OS=Streptomyces sp. OX=1931 GN=DD420_20125 PE=4 SV=1	Streptomyces sp.	168	277	58.7	76.1	8.2e-29
155	TR	A0A5C8QHV8	Two pore domain potassium channel family protein OS=Streptomyces sp. IB2014 016-6 OX=2517818 GN=EW053_13205 PE=4 SV=1	Streptomyces sp. IB2014 016-6	168	274	58.1	74.2	2.3e-28
156	TR	A0A327T863	Voltage-gated potassium channel OS=Streptomyces sp. DpondAA-E10 OX=1305832 GN=K351_03486 PE=4 SV=1	Streptomyces sp. DpondAA-E10	168	269	58.7	75.0	1.3e-27
157	TR	A0A7K2TZM7	Voltage-gated potassium channel OS=Streptomyces sp. SID8358 OX=2690342 GN=GTW52_21050 PE=4 SV=1	Streptomyces sp. SID8358	168	269	58.7	75.0	1.3e-27
158	TR	A0A6G2ZKF4	Voltage-gated potassium channel OS=Streptomyces sp. SID3915 OX=2690263 GN=GT016_27660 PE=4 SV=1	Streptomyces sp. SID3915	168	269	58.7	75.0	1.3e-27
159	TR	G2NJU4	Ion transport 2 domain protein OS=Streptomyces sp. (strain SirexAA-E / ActE) OX=862751 GN=SACTE_5969 PE=4 SV=1	Streptomyces sp. (strain SirexAA-E / ActE)	168	269	58.7	75.0	1.3e-27
160	TR	A0A225TLW6	Ion transporter OS=Rhodococcus sp. BUPNP1 OX=1432786 GN=B9C99_12885 PE=4 SV=1	Rhodococcus sp. BUPNP1	239	261	55.0	67.0	1.2e-25
161	TR	A0A7W3IPN6	Voltage-gated potassium channel OS=Microlunatus kandeliicorticis OX=1759536 GN=FHX74_000504 PE=4 SV=1	Microlunatus kandeliicorticis	250	259	53.7	69.5	3e-25
162	TR	A0A0T2L0A2	Potassium channel domain-containing protein OS=Microbacterium sp. Root61 OX=1736570 GN=ASD65_13655 PE=4 SV=1	Microbacterium sp. Root61	238	257	57.3	71.9	4.7e-25
163	TR	A0A323VC96	Two pore domain potassium channel family protein OS=Modestobacter versicolor OX=429133 GN=DMO24_04510 PE=4 SV=1	Modestobacter versicolor	255	257	55.3	68.1	6.7e-25
164	TR	A0A1H3LFW1	Voltage-gated potassium channel OS=Modestobacter sp. DSM 44400 OX=1550230 GN=SAMN05661080_04090 PE=4 SV=1	Modestobacter sp. DSM 44400	250	256	52.6	69.5	8.5e-25
165	TR	I4EVB6	Voltage-gated potassium channel OS=Modestobacter marinus OX=477641 GN=kcsA PE=4 SV=1	Modestobacter marinus	257	256	53.7	69.5	9.8e-25
166	TR	A0A849BQY6	Two pore domain potassium channel family protein OS=Pseudokineococcus marinus OX=351215 GN=HLB09_11960 PE=4 SV=1	Pseudokineococcus marinus	260	256	64.0	76.4	1e-24
167	TR	A0A1H0FNS7	Voltage-gated potassium channel OS=Geodermatophilus sp. DSM 45219 OX=1881103 GN=SAMN05428965_2121 PE=4 SV=1	Geodermatophilus sp. DSM 45219	177	243	50.5	67.7	1.4e-23
168	TR	A0A6I6GUP9	Putative ion transport protein OS=Dietzia sp. DQ12-45-1b OX=912801 GN=GJR88_05077 PE=4 SV=1	Dietzia sp. DQ12-45-1b	241	243	57.1	72.5	6.1e-23
169	TR	M2YL48	Ion transport protein (Fragment) OS=Rhodococcus ruber BKS 20-38 OX=1278076 GN=G352_16227 PE=4 SV=1	Rhodococcus ruber BKS 20-38	124	234	56.0	68.1	8e-23
170	TR	A0A6P0ET59	Potassium channel family protein OS=Modestobacter muralis OX=1608614 GN=G3R41_07990 PE=4 SV=1	Modestobacter muralis	263	243	52.6	65.3	9.3e-23
171	TR	A0A2A2WNV4	Ion transporter OS=Dietzia natronolimnaea OX=161920 GN=CEY15_11155 PE=4 SV=1	Dietzia natronolimnaea	271	243	58.2	72.5	1.1e-22
172	TR	A0A1J5QYH9	pH-gated potassium channel KcsA OS=mine drainage metagenome OX=410659 GN=kcsA_1 PE=4 SV=1	mine drainage metagenome	251	241	53.8	68.1	1.5e-22
173	TR	M3A2N1	Ion transport protein OS=Rhodococcus ruber BKS 20-38 OX=1278076 GN=G352_01177 PE=4 SV=1	Rhodococcus ruber BKS 20-38	239	240	51.0	63.0	1.6e-22
174	TR	A0A1S8C9L4	Voltage-gated potassium channel OS=Modestobacter sp. VKM Ac-2676 OX=1678130 GN=A7K94_0211995 PE=4 SV=1	Modestobacter sp. VKM Ac-2676	249	240	50.5	66.3	2e-22
175	TR	A0A4V2Z6N2	Two pore domain potassium channel family protein OS=Actinomadura sp. 6K520 OX=2530364 GN=E1289_12870 PE=4 SV=1	Actinomadura sp. 6K520	251	240	56.1	70.7	2.1e-22
176	TR	A0A022L6U3	Ion transporter OS=Dietzia sp. UCD-THP OX=1292020 GN=H483_0115995 PE=4 SV=1	Dietzia sp. UCD-THP	270	241	58.2	69.2	2.1e-22
177	TR	A0A2S1RCR3	Ion transporter OS=Dietzia lutea OX=546160 GN=A6035_16185 PE=4 SV=1	Dietzia lutea	242	239	58.2	69.2	2.4e-22
178	TR	A0A562IN32	Voltage-gated potassium channel OS=Modestobacter roseus OX=1181884 GN=JD78_00767 PE=4 SV=1	Modestobacter roseus	260	240	49.5	66.3	2.5e-22
179	TR	A0A917BDK1	Ion transporter OS=Marmoricola endophyticus OX=2040280 GN=GCM10011519_06100 PE=4 SV=1	Marmoricola endophyticus	236	238	49.5	68.1	3e-22
180	TR	A0A1A3KYA0	Ion transporter OS=Mycobacterium asiaticum OX=1790 GN=A5640_28095 PE=4 SV=1	Mycobacterium asiaticum	241	238	52.4	76.8	3.4e-22
181	TR	A0A1C4VAJ0	Voltage-gated potassium channel OS=Micromonospora marina OX=307120 GN=GA0070215_10336 PE=4 SV=1	Micromonospora marina	256	238	60.7	70.8	4.5e-22
182	TR	A0A6N8GCQ4	Two pore domain potassium channel family protein OS=Streptomonospora sp. PA3 OX=2607326 GN=FZ103_11210 PE=4 SV=1	Streptomonospora sp. PA3	260	238	60.0	70.6	4.8e-22
183	TR	A0A928EI66	Potassium channel family protein OS=Actinomycetaceae bacterium OX=1898202 GN=E7Z96_07210 PE=4 SV=1	Actinomycetaceae bacterium	267	238	50.5	69.9	5.5e-22
184	TR	A0A2T0RGG0	Voltage-gated potassium channel OS=Pseudosporangium ferrugineum OX=439699 GN=CLV70_12592 PE=4 SV=1	Pseudosporangium ferrugineum	254	237	58.4	68.5	6.1e-22
185	TR	A0A2T5AS41	Voltage-gated potassium channel OS=Dietzia psychralcaliphila OX=139021 GN=C8N39_102388 PE=4 SV=1	Dietzia psychralcaliphila	240	236	57.1	70.3	6.5e-22
186	TR	A0A5J6U9L2	Two pore domain potassium channel family protein OS=Actinomadura sp. WMMB 499 OX=1219491 GN=F7P10_24170 PE=4 SV=1	Actinomadura sp. WMMB 499	258	237	60.5	70.9	6.6e-22
187	TR	A0A4P6Q6H8	pH-gated potassium channel KcsA OS=Streptomonospora litoralis OX=2498135 GN=kcsA PE=4 SV=1	Streptomonospora litoralis	261	237	59.1	69.3	6.9e-22
188	TR	A0A8J3C2B9	Ion transporter OS=Mangrovihabitans endophyticus OX=1751298 GN=GCM10012284_37830 PE=4 SV=1	Mangrovihabitans endophyticus	283	238	57.3	68.5	7.3e-22
189	TR	A0A077LVD0	Ion transport 2 domain protein OS=Tetrasphaera japonica T1-X7 OX=1194083 GN=BN12_210009 PE=4 SV=1	Tetrasphaera japonica T1-X7	250	236	51.1	64.9	7.9e-22
190	TR	A0A1A3N6E8	Ion transporter OS=Mycobacterium asiaticum OX=1790 GN=A5635_06110 PE=4 SV=1	Mycobacterium asiaticum	240	235	51.2	76.8	9.2e-22
191	TR	A0A1X0IV54	Ion transporter OS=Mycolicibacterium rhodesiae OX=36814 GN=BST42_12830 PE=4 SV=1	Mycolicibacterium rhodesiae	261	236	46.3	67.4	9.7e-22
192	TR	A0A0C2G8M6	Ion transporter OS=Streptomonospora alba OX=183763 GN=LP52_06060 PE=4 SV=1	Streptomonospora alba	259	235	60.0	69.4	1.3e-21
193	TR	A0A852TXD5	Voltage-gated potassium channel OS=Spinactinospora alkalitolerans OX=687207 GN=HDA32_001824 PE=4 SV=1	Spinactinospora alkalitolerans	250	234	55.4	68.5	1.6e-21
194	TR	A0A7Y9MLC1	Voltage-gated potassium channel OS=Microbacterium sp. AK009 OX=2723068 GN=HDC37_002790 PE=4 SV=1	Microbacterium sp. AK009	251	234	52.8	68.5	1.6e-21
195	TR	A0A2W2BS64	Ion transporter OS=Micromonospora deserti OX=2070366 GN=C1I99_24825 PE=4 SV=1	Micromonospora deserti	268	234	58.0	69.3	2.2e-21
196	TR	A0A846LUY7	Voltage-gated potassium channel OS=Modestobacter marinus OX=477641 GN=FB380_004702 PE=4 SV=1	Modestobacter marinus	269	234	50.5	63.2	2.2e-21
197	TR	A0A7Z7NAM3	pH-gated potassium channel KcsA OS=Mycobacterium simulans OX=627089 GN=kcsA PE=4 SV=1	Mycobacterium simulans	239	232	50.0	74.4	2.5e-21
198	TR	A0A1X2D468	Ion transporter OS=Mycobacterium riyadhense OX=486698 GN=AWC22_16005 PE=4 SV=1	Mycobacterium riyadhense	239	232	50.0	74.4	2.5e-21
199	TR	A0A0Q8ZUF2	Ion transporter OS=Mycobacterium sp. Root265 OX=1736504 GN=ASE48_06765 PE=4 SV=1	Mycobacterium sp. Root265	247	232	53.0	66.0	2.9e-21
200	TR	A0A653EJC0	pH-gated potassium channel KcsA OS=Mycobacterium riyadhense OX=486698 GN=kcsA PE=4 SV=1	Mycobacterium riyadhense	249	232	50.0	74.4	3e-21
